codistat,codprov_istat,segm3,km,casmez,year,index_stateint
36038,36,3,-287.3715415432135,0,2006,55.30427487194538
36038,36,3,-287.3715415432135,0,2008,66.61877274513245
36038,36,3,-287.3715415432135,0,2013,31.59722375124693
36038,36,3,-287.3715415432135,0,2018,61.85442807525396
36039,36,3,-277.9041472687766,0,1994,35.73405928909779
36039,36,3,-277.9041472687766,0,1996,34.77283430099487
36039,36,3,-277.9041472687766,0,2001,47.252540320158
36039,36,3,-277.9041472687766,0,2006,63.09985210001469
36039,36,3,-277.9041472687766,0,2008,68.7324595451355
36039,36,3,-277.9041472687766,0,2013,35.51574985124171
36039,36,3,-277.9041472687766,0,2018,60.89905366301537
36040,36,3,-273.1666037939229,0,1994,30.86432428658009
36040,36,3,-273.1666037939229,0,1996,31.17697310447693
36040,36,3,-273.1666037939229,0,2001,38.18463802337646
36040,36,3,-273.1666037939229,0,2006,50.88386204838753
36040,36,3,-273.1666037939229,0,2008,69.30404090881348
36040,36,3,-273.1666037939229,0,2013,35.88951221480966
36040,36,3,-273.1666037939229,0,2018,60.48450419306755
36041,36,3,-252.9707626003708,0,1994,38.21147502213717
36041,36,3,-252.9707626003708,0,1996,38.53278970718384
36041,36,3,-252.9707626003708,0,2001,48.44708582758904
36041,36,3,-252.9707626003708,0,2006,66.22106453031301
36041,36,3,-252.9707626003708,0,2008,68.01135182380676
36041,36,3,-252.9707626003708,0,2013,32.20589347742498
36041,36,3,-252.9707626003708,0,2018,61.22523494064808
36044,36,3,-279.1198455489844,0,1994,37.57978182286024
36044,36,3,-279.1198455489844,0,1996,38.05448693037033
36044,36,3,-279.1198455489844,0,2001,51.73224413394928
36044,36,3,-279.1198455489844,0,2006,69.84728896617889
36044,36,3,-279.1198455489844,0,2008,71.11683058738708
36044,36,3,-279.1198455489844,0,2013,31.60979956015944
36044,36,3,-279.1198455489844,0,2018,61.29815790057182
36045,36,3,-257.8189346411738,0,1994,38.81930144876242
36045,36,3,-257.8189346411738,0,1996,38.11336207389832
36045,36,3,-257.8189346411738,0,2001,49.51202335953712
36045,36,3,-257.8189346411738,0,2006,67.24896441400051
36045,36,3,-257.8189346411738,0,2008,69.19216847419739
36045,36,3,-257.8189346411738,0,2013,29.73977938853204
36045,36,3,-257.8189346411738,0,2018,61.12759956717491
36046,36,3,-254.7410228799589,0,1994,35.5440628901124
36046,36,3,-254.7410228799589,0,1996,36.31800806522369
36046,36,3,-254.7410228799589,0,2001,45.73505556583405
36046,36,3,-254.7410228799589,0,2006,61.30572371184826
36046,36,3,-254.7410228799589,0,2008,69.16654992103577
